date,sku_id,location_id,units_sold
2024-01-01,sku_1,store_1,37
2024-01-01,sku_1,store_2,34
2024-01-01,sku_1,store_3,38
2024-01-01,sku_2,store_1,33
2024-01-01,sku_2,store_2,24
2024-01-01,sku_2,store_3,24
2024-01-01,sku_3,store_1,26
2024-01-01,sku_3,store_2,22
2024-01-01,sku_3,store_3,16
2024-01-01,sku_4,store_1,13
2024-01-01,sku_4,store_2,8
2024-01-01,sku_4,store_3,8
2024-01-02,sku_1,store_1,36
2024-01-02,sku_1,store_2,25
2024-01-02,sku_1,store_3,26
2024-01-02,sku_2,store_1,22
2024-01-02,sku_2,store_2,20
2024-01-02,sku_2,store_3,27
2024-01-02,sku_3,store_1,13
2024-01-02,sku_3,store_2,11
2024-01-02,sku_3,store_3,25
2024-01-02,sku_4,store_1,9
2024-01-02,sku_4,store_2,10
2024-01-02,sku_4,store_3,3
2024-01-03,sku_1,store_1,32
2024-01-03,sku_1,store_2,36
2024-01-03,sku_1,store_3,29
2024-01-03,sku_2,store_1,27
2024-01-03,sku_2,store_2,22
2024-01-03,sku_2,store_3,24
2024-01-03,sku_3,store_1,15
2024-01-03,sku_3,store_2,27
2024-01-03,sku_3,store_3,18
2024-01-03,sku_4,store_1,5
2024-01-03,sku_4,store_2,14
2024-01-03,sku_4,store_3,4
2024-01-04,sku_1,store_1,36
2024-01-04,sku_1,store_2,25
2024-01-04,sku_1,store_3,28
2024-01-04,sku_2,store_1,26
2024-01-04,sku_2,store_2,29
2024-01-04,sku_2,store_3,26
2024-01-04,sku_3,store_1,17
2024-01-04,sku_3,store_2,16
2024-01-04,sku_3,store_3,11
2024-01-04,sku_4,store_1,6
2024-01-04,sku_4,store_2,8
2024-01-04,sku_4,store_3,15
2024-01-05,sku_1,store_1,37
2024-01-05,sku_1,store_2,26
2024-01-05,sku_1,store_3,37
2024-01-05,sku_2,store_1,23
2024-01-05,sku_2,store_2,22
2024-01-05,sku_2,store_3,28
2024-01-05,sku_3,store_1,23
2024-01-05,sku_3,store_2,23
2024-01-05,sku_3,store_3,14
2024-01-05,sku_4,store_1,8
2024-01-05,sku_4,store_2,12
2024-01-05,sku_4,store_3,15
2024-01-06,sku_1,store_1,33
2024-01-06,sku_1,store_2,34
2024-01-06,sku_1,store_3,29
2024-01-06,sku_2,store_1,19
2024-01-06,sku_2,store_2,29
2024-01-06,sku_2,store_3,32
2024-01-06,sku_3,store_1,18
2024-01-06,sku_3,store_2,23
2024-01-06,sku_3,store_3,20
2024-01-06,sku_4,store_1,7
2024-01-06,sku_4,store_2,12
2024-01-06,sku_4,store_3,18
2024-01-07,sku_1,store_1,35
2024-01-07,sku_1,store_2,43
2024-01-07,sku_1,store_3,22
2024-01-07,sku_2,store_1,29
2024-01-07,sku_2,store_2,25
2024-01-07,sku_2,store_3,24
2024-01-07,sku_3,store_1,18
2024-01-07,sku_3,store_2,8
2024-01-07,sku_3,store_3,17
2024-01-07,sku_4,store_1,12
2024-01-07,sku_4,store_2,17
2024-01-07,sku_4,store_3,7
2024-01-08,sku_1,store_1,31
2024-01-08,sku_1,store_2,32
2024-01-08,sku_1,store_3,40
2024-01-08,sku_2,store_1,27
2024-01-08,sku_2,store_2,22
2024-01-08,sku_2,store_3,28
2024-01-08,sku_3,store_1,18
2024-01-08,sku_3,store_2,23
2024-01-08,sku_3,store_3,14
2024-01-08,sku_4,store_1,8
2024-01-08,sku_4,store_2,8
2024-01-08,sku_4,store_3,3
2024-01-09,sku_1,store_1,36
2024-01-09,sku_1,store_2,36
2024-01-09,sku_1,store_3,35
2024-01-09,sku_2,store_1,24
2024-01-09,sku_2,store_2,18
2024-01-09,sku_2,store_3,23
2024-01-09,sku_3,store_1,16
2024-01-09,sku_3,store_2,14
2024-01-09,sku_3,store_3,17
2024-01-09,sku_4,store_1,12
2024-01-09,sku_4,store_2,19
2024-01-09,sku_4,store_3,11
2024-01-10,sku_1,store_1,36
2024-01-10,sku_1,store_2,35
2024-01-10,sku_1,store_3,25
2024-01-10,sku_2,store_1,25
2024-01-10,sku_2,store_2,25
2024-01-10,sku_2,store_3,37
2024-01-10,sku_3,store_1,17
2024-01-10,sku_3,store_2,20
2024-01-10,sku_3,store_3,18
2024-01-10,sku_4,store_1,4
2024-01-10,sku_4,store_2,16
2024-01-10,sku_4,store_3,14
2024-01-11,sku_1,store_1,39
2024-01-11,sku_1,store_2,30
2024-01-11,sku_1,store_3,42
2024-01-11,sku_2,store_1,18
2024-01-11,sku_2,store_2,28
2024-01-11,sku_2,store_3,36
2024-01-11,sku_3,store_1,13
2024-01-11,sku_3,store_2,15
2024-01-11,sku_3,store_3,18
2024-01-11,sku_4,store_1,7
2024-01-11,sku_4,store_2,2
2024-01-11,sku_4,store_3,10
2024-01-12,sku_1,store_1,30
2024-01-12,sku_1,store_2,37
2024-01-12,sku_1,store_3,30
2024-01-12,sku_2,store_1,33
2024-01-12,sku_2,store_2,21
2024-01-12,sku_2,store_3,23
2024-01-12,sku_3,store_1,22
2024-01-12,sku_3,store_2,12
2024-01-12,sku_3,store_3,19
2024-01-12,sku_4,store_1,17
2024-01-12,sku_4,store_2,2
2024-01-12,sku_4,store_3,11
2024-01-13,sku_1,store_1,36
2024-01-13,sku_1,store_2,39
2024-01-13,sku_1,store_3,29
2024-01-13,sku_2,store_1,18
2024-01-13,sku_2,store_2,28
